Subject1(30),Assignment-subject1(20),Subject2(30),Assignment-subject2(20),Subject3(30),Assignment-subject3(20),Subject4(30),Assignment-subject4(20),Subject5(30),Assignment-subject5(20),CGPA,SGPA
15,14,15,14,22,11,19,18,29,10,7.0,7.864814077117106
18,16,24,20,25,15,21,15,29,19,8.0,8.510218446734868
20,17,24,16,30,17,25,20,19,12,7.4,7.303811819058112
19,19,17,14,17,11,24,16,23,10,6.8,6.590349192329389
19,11,25,13,22,17,22,17,22,17,7.6,7.29830032741008
21,20,15,14,25,12,28,20,16,18,8.0,8.690616452632264
19,16,19,16,17,10,30,18,28,15,7.4,7.110941224500427
18,15,15,16,29,19,17,11,15,11,7.2,7.050022777312633
19,11,24,15,30,19,24,14,26,10,8.0,8.227974523743521
23,20,19,12,26,15,26,15,22,18,8.0,8.146546424474638
24,12,25,19,26,10,26,17,20,12,8.2,8.792317566530897
23,13,18,19,19,15,22,20,17,17,7.8,7.5529164830847115
30,20,15,11,24,15,18,16,19,14,7.6,7.823731018578409
29,18,19,17,17,11,21,12,16,17,7.6,7.527413056843596
23,11,15,10,20,18,30,17,19,14,7.6,7.742184668101764
26,13,30,15,26,16,28,12,27,14,7.6,7.117549744448012
20,17,25,16,16,15,25,18,20,19,8.2,8.743345188779871
30,17,27,10,19,11,27,20,17,17,8.2,8.611789704030631
22,14,19,11,26,14,23,20,26,17,7.6,7.338011894181692
26,19,16,18,16,17,28,12,19,20,6.8,6.529269962420653
22,16,25,12,30,16,26,11,25,18,8.6,8.762809145980217
25,14,25,16,28,15,30,10,24,17,8.2,8.216998492601359
16,11,25,13,29,11,19,18,29,11,6.8,6.86083033824383
23,10,24,10,15,16,16,13,26,13,7.0,7.827443168054085
24,20,28,12,22,20,22,12,16,19,7.4,7.437343929900939
24,18,24,10,23,10,18,10,26,14,7.0,7.78332035019468
29,15,15,11,28,18,18,16,30,19,8.4,8.212078400108602
22,18,15,11,21,18,18,18,22,14,7.2,7.897920384372204
15,15,25,16,17,11,18,13,20,11,7.0,7.396038606699517
21,19,21,11,15,14,23,10,17,20,6.8,6.657909402408706
16,20,29,10,24,17,29,20,19,19,8.6,8.326206586579362
29,16,23,12,20,20,16,14,24,15,6.4,6.923368708762403
25,15,22,13,16,14,29,15,22,13,6.6,6.782822911196069
27,20,17,10,18,11,15,20,27,15,7.4,7.703909040132154
23,12,16,19,26,11,26,11,25,19,7.4,7.654831238901321
28,19,16,19,27,18,20,15,25,15,6.8,6.48629345431602
18,12,19,14,21,10,16,11,19,14,6.6,6.223892497529042
21,12,15,10,29,18,30,10,18,12,7.0,7.111548958015938
24,10,15,10,17,15,30,18,27,16,7.8,7.974564164091544
15,10,30,16,23,16,18,17,29,14,7.8,7.005282851679121
15,15,24,16,25,19,24,19,28,10,7.6,7.288065235223252
30,14,24,19,16,12,23,14,24,13,8.0,8.305722785065594
20,14,25,15,30,12,26,11,18,16,7.4,7.955952500845637
30,16,30,18,23,12,24,13,28,20,8.8,8.710034170347884
18,14,20,14,26,14,21,11,19,20,7.0,7.063459154962497
29,12,22,11,24,19,24,19,15,14,8.0,8.541208032163581
25,20,16,17,15,14,21,12,17,17,6.6,6.654854796037685
21,12,30,13,27,18,20,12,24,12,7.4,7.153956912054032
26,19,24,13,16,18,21,18,28,10,7.4,7.141953439710001
20,17,26,17,25,18,25,10,22,18,7.6,7.505372427860071
19,15,22,15,16,11,19,12,16,12,6.8,6.032998004650699
29,16,16,14,17,10,16,13,27,15,6.6,6.3500201066152115
18,16,22,16,15,14,18,17,17,14,6.8,6.800307336684422
30,15,18,16,23,11,29,13,15,10,7.0,7.420617256818124
19,10,17,20,24,17,20,19,27,20,8.2,8.433439893587892
27,18,30,18,21,10,28,18,21,14,7.8,7.0529212948262
22,16,19,17,16,12,29,11,26,14,6.8,6.512954139438095
21,12,15,13,19,14,29,15,27,13,7.0,7.232486614957378
27,19,15,10,30,14,20,17,18,14,8.0,8.074571146280991
21,12,21,12,28,12,25,17,17,10,7.0,7.3406548001597125
22,17,25,10,26,18,15,20,22,14,7.4,7.813715010220649
23,20,20,17,29,14,22,15,29,13,8.6,8.660036328318098
21,14,26,12,28,19,27,11,18,13,7.8,7.918037066283535
19,18,17,18,29,12,30,14,23,13,8.0,8.546823040928384
16,20,23,12,25,11,30,20,30,12,8.2,8.474840732574377
24,20,18,10,29,12,24,11,17,14,7.4,7.017424526248606
30,12,24,17,25,16,29,15,21,13,8.6,8.416133161864268
18,14,28,18,15,13,18,10,19,10,7.0,7.77057471321172
24,16,25,10,17,10,25,16,26,12,7.0,7.436093820630623
24,15,18,18,22,11,20,16,26,17,8.0,8.319279354919443
29,20,23,12,15,16,15,18,24,14,7.6,7.3858012664419235
28,15,24,17,21,13,15,14,30,18,8.2,8.266647836107671
22,13,29,16,19,18,18,13,21,13,6.8,6.780165543620757
23,20,26,15,15,12,16,15,20,11,7.6,7.697108556273166
28,13,16,17,22,18,16,10,26,13,7.2,7.380750236065516
16,16,25,19,15,19,18,11,20,17,7.4,7.829915629543995
22,10,22,15,29,16,26,20,19,16,7.4,7.265883360639702
23,12,22,11,23,11,27,12,16,16,7.0,7.525077014850575
17,20,16,19,24,18,24,11,29,14,7.6,7.965396790946526
27,16,22,19,26,16,30,15,25,10,7.8,7.836506991768642
29,14,18,19,27,16,15,14,22,10,7.8,7.219903443680218
28,12,30,11,26,11,30,19,25,10,7.8,7.308753197176549
27,14,28,19,22,13,15,13,27,15,8.0,8.68389382139193
16,20,28,20,22,10,22,15,30,16,8.6,8.863380389481268
30,19,30,17,25,19,22,10,26,11,8.8,8.196532978439693
20,13,19,12,26,20,26,11,21,18,8.0,8.62997488657901
27,16,15,12,27,11,24,17,16,20,8.0,8.902538417987726
17,10,20,12,27,16,24,19,18,15,7.6,7.477223761719346
23,10,30,10,19,11,20,12,29,10,6.8,6.606474122168663
24,13,15,10,29,13,16,17,30,19,8.0,8.718902302984892
21,19,30,20,24,19,17,11,28,20,8.2,8.642012817851482
16,14,16,15,23,10,19,14,27,10,7.0,7.186624193323051
17,11,28,12,17,18,24,19,25,13,7.0,7.835431754350985
23,20,19,13,21,16,25,16,18,10,7.8,7.4541919574811875
29,13,30,13,15,17,22,16,27,19,8.6,8.609823891560161
26,15,18,19,21,12,18,19,28,20,8.4,8.78205228865754
23,11,15,14,17,16,19,19,27,19,7.6,7.846827670679211
23,15,22,13,30,19,23,17,22,16,7.6,7.747629195787338
19,16,21,19,17,15,27,10,28,18,7.4,7.29385558320997
22,20,22,11,24,13,21,11,19,15,7.6,7.07710987137088
16,10,25,12,19,10,16,13,26,10,6.8,6.33490017149185
21,10,24,14,28,14,26,19,22,19,7.8,7.846618592856871
15,20,15,13,19,13,20,12,30,16,7.2,7.373632467722384
16,13,25,17,22,15,29,20,20,16,8.2,8.897085115266291
23,17,26,13,30,14,21,18,24,16,7.4,7.652268946716766
18,19,19,10,16,16,17,11,25,14,7.0,7.383163242831359
21,18,23,10,17,14,21,11,27,17,7.6,7.406261371311079
17,14,19,18,17,17,21,10,21,20,7.6,7.691736629443218
27,14,16,20,15,13,29,20,30,20,8.6,8.838707358250787
17,20,29,17,24,19,30,19,25,12,9.0,9.868184387306174
17,17,25,15,29,12,21,20,28,20,8.2,8.387726929477667
15,11,23,18,24,15,17,14,15,12,7.2,7.4057621172314905
27,20,30,15,19,14,20,10,15,10,7.0,7.299306344866904
21,18,23,17,26,18,24,13,17,17,7.6,7.643224866648916
18,18,21,14,18,14,26,18,23,10,7.4,7.03161556713182
25,18,17,11,15,20,23,11,23,11,7.0,7.278903136203233
25,19,19,18,21,15,15,10,15,11,7.4,7.950303818268589
17,17,22,10,17,14,30,10,22,14,7.0,7.622109243340724
30,11,30,17,24,12,18,16,18,14,8.2,8.761022307567115
18,18,21,18,26,10,19,13,23,20,8.0,8.303418890425544
25,13,30,10,29,15,16,14,28,10,7.4,7.26326738577738
16,11,16,17,24,16,25,15,22,10,6.4,6.276037440963829
24,19,23,12,16,17,22,11,28,15,7.6,7.406047356873125
15,17,19,20,26,11,27,10,20,18,7.8,7.990744543423614
15,11,30,15,27,19,17,17,27,15,7.6,7.486266677639421
28,18,16,12,24,19,20,11,22,17,8.0,8.13495135765253
24,20,29,13,17,10,19,20,16,17,7.8,7.40360529519571
18,17,19,20,25,11,24,20,30,10,7.4,7.993074640409464
15,16,18,18,26,11,17,12,25,20,7.0,7.029222573421115
28,19,30,15,19,15,29,15,25,15,7.6,7.8297030202411495
27,15,18,10,28,17,18,15,27,20,7.6,7.177898650557992
26,11,20,20,27,11,16,20,29,16,7.2,7.754657977512275
20,19,22,11,27,20,23,20,15,12,8.0,8.568958873976843
28,10,28,12,19,12,26,19,22,15,7.0,7.380821669527603
26,16,16,20,23,18,21,19,24,19,8.2,8.938900215126367
20,19,24,16,18,20,23,18,27,20,8.2,8.25818939910112
24,12,21,19,18,15,21,13,16,10,6.8,6.6994886169050485
28,20,20,19,26,15,20,18,28,18,9.0,9.529231194302588
22,19,24,10,18,13,23,12,17,10,7.0,7.941602601766907
30,14,16,17,28,10,26,12,16,15,7.8,7.1567607551086665
28,18,29,10,28,16,23,14,23,20,8.8,8.400891663781769
17,17,21,14,26,20,21,17,20,17,7.8,7.338618129186451
18,10,28,17,30,12,16,19,19,18,7.0,7.984961625394563
24,14,28,15,23,14,16,20,26,19,7.8,7.087525113106254
29,19,21,14,19,16,27,18,29,17,7.6,7.722832380484409
15,19,17,13,30,19,23,13,24,17,8.0,8.111937665439479
21,15,24,17,28,13,25,19,15,11,8.2,8.256886020071152
19,11,26,18,27,12,18,16,23,13,7.6,7.417186886607265
30,19,22,12,19,14,17,10,29,16,7.2,7.58150039670368
26,13,26,19,18,17,16,11,28,12,6.4,6.3296295253181984
21,20,15,11,25,10,27,17,26,18,7.8,7.550696246962563
30,12,28,20,24,16,15,14,19,15,7.6,7.892897777595747
23,19,24,12,29,17,16,11,19,18,8.2,8.60870201587506
27,14,23,18,15,17,26,15,20,20,8.0,8.692996498937429
30,18,30,14,25,13,16,15,24,18,8.6,8.653551682096989
28,17,20,13,15,18,29,19,23,11,7.4,7.061648720863391
16,12,22,16,30,20,23,19,17,12,7.8,7.706930086677277
17,11,30,15,18,15,28,20,22,12,7.2,7.12367018748935
28,20,15,13,24,11,24,20,28,20,8.2,8.367261962670758
28,17,27,10,22,16,28,14,19,10,7.4,7.827774640924921
21,17,16,17,23,18,29,18,20,18,8.4,8.321548360446247
27,18,22,15,28,18,29,15,30,20,8.6,8.412703842602841
22,12,21,14,29,20,18,19,22,20,8.0,8.113143962804603
25,17,19,17,29,14,27,19,24,10,8.6,8.010959610926784
25,15,30,13,24,16,21,13,29,12,7.4,7.929291310025736
24,13,21,19,16,14,24,20,20,15,7.0,7.162759004946299
18,18,27,18,22,12,27,19,17,16,7.6,7.861976010885557
21,13,26,16,23,15,16,17,15,11,7.4,7.883998041621248
18,13,17,11,30,20,26,11,22,13,7.4,7.213349100099927
21,19,29,15,22,16,17,19,23,19,8.0,8.84662328236472
29,18,27,10,18,14,15,18,27,20,8.4,8.556481563465503
25,20,22,14,18,17,26,19,19,17,6.8,6.49501704640873
30,14,28,19,20,19,15,12,18,17,7.8,7.586075659398046
29,15,20,13,19,17,17,11,19,10,7.2,7.712445567039321
26,16,29,15,22,18,18,10,19,14,7.4,7.219938671753484
16,16,29,20,28,12,26,18,25,13,8.0,8.824285216111779
22,11,21,13,21,10,20,17,20,15,7.0,7.480145111686243
28,20,28,10,25,11,19,17,18,20,8.4,8.803411833041483
23,18,22,16,20,10,17,13,30,17,7.8,7.629789795568683
18,17,25,14,19,20,26,12,28,19,8.0,8.031568862446099
21,13,30,16,15,14,16,18,18,20,7.6,7.935717656859637
25,16,19,13,17,18,22,10,17,14,7.2,7.061870133148727
23,18,16,15,26,10,24,10,28,12,7.4,7.21320734761301
15,15,22,10,30,14,16,16,28,12,7.0,7.819818048341794
30,10,24,12,20,11,28,15,17,18,7.2,7.193090192530682
18,18,28,14,17,11,24,12,27,11,7.8,7.2386118796988415
29,15,17,13,23,15,15,12,16,19,7.0,7.394535503700137
19,12,22,13,18,20,24,10,15,18,7.0,7.4970343135975765
27,10,23,10,16,17,24,14,19,14,7.4,7.814759714344318
22,15,27,11,23,15,20,19,30,11,8.2,8.107365954553753
25,10,28,11,22,14,26,10,16,16,7.4,7.964897201935771
23,15,15,20,23,20,25,16,28,10,8.0,8.721538014684274
21,10,16,12,26,19,26,14,18,12,6.2,6.015023904930827
26,18,24,11,23,16,28,10,24,19,8.0,8.35255685978461
24,17,29,12,20,20,18,18,30,14,8.2,8.225625282503948
20,14,28,13,20,15,24,20,18,11,7.4,7.9944210737665315
18,12,19,19,23,19,22,18,17,13,7.0,7.641127797706743
28,14,25,14,27,13,27,20,27,17,8.4,8.615341669976116
29,11,17,17,23,19,28,16,16,18,7.6,7.457090530751893
27,15,17,11,17,12,19,20,28,13,7.6,7.601818873626559
24,15,27,17,19,16,16,14,17,20,7.4,7.159861675210156
17,14,28,12,27,20,30,10,28,16,7.6,7.084923792751024
21,15,27,12,30,11,20,16,20,20,7.8,7.312426977159141
20,16,22,18,25,19,30,20,27,17,8.4,8.515280407874512
27,16,25,14,29,20,17,13,22,15,8.2,8.977577246179399
20,10,19,15,21,13,23,20,20,13,7.2,7.509664540081903
20,19,16,13,24,14,24,10,26,19,7.0,7.1845487990140535
15,11,24,20,16,17,27,12,18,18,7.6,7.549947362975514
23,18,18,14,18,14,27,19,30,12,8.4,8.279980375306668
28,14,29,13,22,10,25,20,27,17,8.0,8.417925689760535
15,13,25,17,24,18,29,17,26,17,8.6,8.19045979635444
21,11,25,14,18,16,22,16,22,19,7.8,7.34890475772724
22,19,19,19,16,19,16,12,24,18,7.6,7.609732845335438
27,19,16,17,18,14,17,14,18,18,7.8,7.00825839887022
23,10,17,20,20,20,16,20,23,15,7.4,7.431933132585097
23,20,24,13,30,15,19,17,29,12,8.0,8.94290676499055
17,16,24,16,22,19,25,10,28,17,6.8,6.265419129818205
16,16,27,19,27,13,15,19,28,10,7.6,7.606241104414787
26,12,26,17,22,19,26,18,25,10,8.2,8.098876050637463
23,16,24,16,15,14,29,18,28,18,8.0,8.696761480227106
20,13,26,10,17,14,19,16,21,19,6.8,6.929097462014716
28,16,22,10,29,17,28,15,25,13,8.6,8.92434349766817
16,19,19,12,22,19,20,15,27,14,7.4,7.073228386062944
20,12,15,11,17,10,28,19,26,11,7.4,7.284995392242742
30,14,23,15,18,17,15,18,29,15,7.8,7.618940571062745
16,13,19,19,29,11,30,18,22,15,7.6,7.434693173618699
21,11,28,17,17,14,21,13,29,10,7.0,7.707538767972239
25,19,21,14,19,13,18,20,30,16,8.0,8.900125293683121
25,13,23,10,17,12,29,13,20,16,7.6,7.734267275223847
28,16,24,14,21,20,28,19,18,11,8.4,8.535483997392973
16,19,18,20,29,11,29,15,21,10,7.2,7.709989030127607
16,12,28,12,18,15,15,11,30,10,6.2,6.056481792621324
18,20,17,12,21,20,28,11,25,14,7.8,7.454948867079349
26,10,20,17,30,12,28,14,26,10,8.4,8.81624765716683
27,17,15,16,18,15,29,19,30,15,7.8,7.974307046340885
16,18,28,15,18,15,16,12,23,14,7.4,7.83024906643586
22,12,18,11,20,18,19,16,19,18,7.0,7.4459132998973905
24,13,29,11,20,12,29,19,22,20,8.0,8.718042619746546
23,18,20,12,19,10,30,19,25,18,8.2,8.245271099977447
16,17,29,14,21,14,18,14,18,14,7.2,7.012153878333711
30,13,30,20,27,18,30,17,18,15,8.4,8.541383736489587
29,10,22,16,22,10,21,11,26,10,7.6,7.252554956676538
18,17,19,18,23,18,27,11,28,10,7.8,7.682930588868167
16,16,27,13,28,17,24,10,20,19,6.8,6.974976188609924
17,11,19,13,22,18,21,11,15,16,6.6,6.89923061637455
29,15,29,13,24,16,28,13,18,13,8.0,8.828136510798283
18,16,22,14,27,20,24,10,26,14,7.6,7.55267803908638
25,18,27,16,27,19,17,20,17,10,8.4,8.073403365395869
23,15,21,19,16,17,28,15,29,16,7.2,7.1486016609068805
26,10,27,19,18,12,26,18,18,14,8.0,8.099825314552485
28,17,20,10,15,17,19,19,26,12,7.0,7.2486777874569
17,11,25,11,21,12,26,16,22,15,7.6,7.060306614057883
30,17,25,14,16,14,28,12,24,13,7.6,7.443858382455563
20,10,20,11,18,14,22,11,19,20,7.0,7.824057602492589
27,17,29,14,30,11,21,16,29,11,8.2,8.858475334709226
18,15,23,20,25,18,19,19,17,17,8.0,8.727770037219509
24,10,17,13,23,10,22,16,16,14,6.8,6.4846561348877465
28,10,16,14,20,11,15,15,28,18,7.4,7.658732465877392
22,16,26,13,18,12,24,10,17,18,7.0,7.344680983748286
28,20,15,15,27,18,16,15,22,16,7.4,7.726664049291294
17,16,20,16,28,12,20,20,28,17,6.6,6.385612669635043
29,13,26,20,19,16,19,14,15,14,7.6,7.921930658889611
16,11,19,11,18,10,27,19,26,18,7.4,7.699062416975666
18,14,18,18,30,11,18,18,29,14,8.2,8.238789168943926
15,16,24,17,24,16,22,18,29,13,7.4,7.38712976410295
15,20,28,15,25,10,19,10,18,14,6.8,6.4618316453278
30,18,23,12,29,12,28,12,28,10,7.8,7.57528370718301
25,20,26,20,24,10,27,15,22,19,8.2,8.352318391112586
26,15,24,11,26,11,22,19,27,13,7.6,7.823062158847363
27,17,21,20,17,11,30,16,20,16,8.4,8.59854476629928
19,15,17,20,24,20,23,18,27,15,8.4,8.831054236460009
21,10,23,12,27,10,23,10,16,17,7.0,7.5342019387486285
24,15,21,15,15,12,19,10,17,13,6.8,6.932501150304505
30,19,26,14,18,17,28,16,29,11,7.4,7.699068937241719
18,20,21,11,20,19,21,16,21,20,8.0,8.442732329240826
30,19,20,12,28,13,21,15,17,19,8.4,8.530816325270077
20,12,26,18,16,20,16,19,27,10,7.6,7.25002332423258
21,17,26,14,25,14,30,14,27,20,8.2,8.298432581841512
26,13,21,20,15,13,19,13,24,11,7.2,7.25718743893072
22,13,17,12,18,16,16,15,20,19,6.8,6.453926790133954
20,18,22,17,27,18,16,13,26,13,7.2,7.992784668125652
20,20,28,15,20,17,29,11,25,12,7.4,7.187670117947013
21,14,29,15,27,12,24,11,30,16,7.8,7.464642599587269
26,16,24,13,23,11,17,14,16,15,7.6,7.816839035366413
18,20,17,17,19,20,15,17,29,20,8.0,8.345610291053672
29,17,26,16,28,10,15,15,23,19,8.4,8.91139526701711
19,14,20,12,18,10,29,16,25,14,6.8,6.070305666360117
20,11,24,12,27,14,17,17,18,11,7.4,7.432967431246976
25,19,29,14,15,11,22,18,19,12,7.4,7.856631207185038
22,19,18,17,30,20,18,12,25,14,7.8,7.274127482472574
20,16,15,14,20,11,22,20,16,10,7.2,7.345317948109434
16,17,16,14,28,19,22,20,29,18,8.4,8.431634546217035
30,13,15,14,24,16,26,19,26,13,7.0,7.2066584425302604
22,13,20,15,29,19,17,11,26,20,7.6,7.126412208028409
23,12,16,12,21,16,26,13,20,20,6.8,6.3275965375446805
20,17,17,12,19,17,28,11,16,12,7.2,7.992203477350715
25,19,24,14,24,10,25,13,25,11,8.0,8.038728511402091
18,19,27,20,21,11,26,12,26,12,8.2,8.232502469789086
29,17,26,15,28,20,29,12,24,20,9.4,9.1121815244482
26,16,15,20,28,11,19,13,27,18,7.2,7.984154196222615
23,16,30,16,17,14,20,15,28,10,7.8,7.422400319178395
16,13,29,20,24,12,18,13,26,13,7.8,7.677154306358668
20,10,25,10,26,14,26,18,15,16,6.8,6.8960893945023285
15,11,29,19,16,12,17,16,29,12,7.6,7.785056131532195
19,19,15,12,16,14,20,14,28,14,7.2,7.1327042447384645
17,15,27,13,25,18,29,12,22,16,7.8,7.323336523040898
25,14,17,16,26,10,26,17,23,19,8.2,8.257132524436235
24,18,19,14,22,12,29,17,17,12,7.8,7.361541983872163
19,14,26,12,29,19,15,16,19,12,7.8,7.684223791417987
22,20,25,20,17,17,30,17,29,16,7.6,7.303301245814945
25,17,15,18,18,12,26,10,24,12,7.6,7.16433582784655
27,15,16,19,16,13,17,18,21,20,7.2,7.250478953977036
24,10,23,20,18,13,30,18,20,15,7.8,7.624835886608672
28,10,22,20,28,19,21,20,17,12,8.4,8.423653186096011
21,17,16,18,30,18,18,17,20,19,7.8,7.473738326260339
18,13,17,13,19,17,28,13,30,15,7.2,7.213499757286795
16,16,23,19,25,17,25,13,19,12,8.0,8.532405662207205
25,12,24,16,20,11,18,19,18,10,7.0,7.138909232414414
25,13,16,13,15,17,21,13,21,20,7.4,7.161955226181382
22,15,30,12,18,11,21,14,19,19,7.4,7.141871759999586
17,11,23,19,25,18,27,12,24,18,8.2,8.743267547923715
16,16,19,16,22,10,17,15,18,15,6.8,6.341718685828989
24,18,22,17,25,10,20,20,30,16,7.8,7.029016999647095
24,14,24,20,21,13,30,14,24,16,7.8,7.607759132685553
30,11,17,16,27,19,17,11,21,12,7.8,7.0395517184628265
26,15,16,13,22,13,17,15,16,10,6.8,6.922297969951285
20,16,26,15,21,15,24,15,27,11,8.2,8.809667407747277
15,10,27,18,20,18,26,11,27,15,7.4,7.406992201318144
22,14,23,17,28,20,22,18,28,16,7.8,7.040318561636444
29,18,28,11,17,14,21,20,27,19,8.8,8.321101561772156
28,10,28,15,15,18,18,17,19,20,7.6,7.234697397745536
21,10,18,10,17,10,28,14,23,19,7.4,7.93224528160896
23,17,16,18,28,18,25,12,27,14,8.0,8.02537253455443
22,20,20,12,21,14,21,12,24,10,7.2,7.120452557219831
17,11,19,13,25,10,30,16,15,17,7.2,7.085264472603891
17,11,25,16,21,12,21,18,28,16,7.8,7.637661716637032
28,20,25,17,21,20,27,14,30,12,9.2,9.968441056201119
15,20,27,17,26,12,19,15,25,15,7.2,7.359087492602869
28,15,18,18,16,14,25,15,20,17,7.4,7.746412781305748
26,16,18,18,19,10,25,20,22,11,7.2,7.742507329456775
22,18,26,11,28,18,30,16,20,14,8.2,8.053376129002583
21,18,20,20,25,12,28,16,20,20,7.4,7.543733051674031
30,20,21,11,15,15,27,17,24,11,7.6,7.520998227042124
17,18,20,15,17,13,29,15,22,16,7.0,7.538616253664349
18,19,30,15,18,14,29,14,29,15,7.8,7.696034814097481
20,12,19,19,23,17,24,14,25,20,7.0,7.709830518560594
20,11,18,16,28,14,24,18,17,20,8.0,8.086004861484874
27,10,29,11,30,12,30,10,25,18,7.6,7.282252342604762
26,13,22,10,25,18,27,14,16,18,8.0,8.997597735329617
17,18,27,15,20,11,21,20,27,20,8.2,8.34931853442848
30,10,24,19,16,11,18,19,22,13,7.0,7.295996033347126
17,14,20,10,17,19,20,13,29,16,6.8,6.063321869540204
22,19,18,10,16,18,28,11,23,15,7.6,7.268309972799935
24,10,20,10,18,13,15,14,23,16,6.8,6.1147620547196215
28,12,28,19,19,19,30,11,29,19,8.6,8.534883086272508
28,14,20,16,29,14,16,15,25,10,7.8,7.800106370407127
24,12,21,11,29,13,21,17,18,16,7.8,7.435504048015275
29,17,26,15,30,16,26,14,24,20,8.8,8.393160056576884
18,14,23,18,26,12,17,10,24,13,7.6,7.530422872461661
23,18,25,17,16,18,26,11,15,14,7.8,7.906861784835979
26,12,17,17,21,12,22,10,26,19,7.0,7.18321466106619
20,20,30,10,25,13,22,19,18,14,7.2,7.584173246177018
21,11,18,20,26,10,26,10,15,13,7.4,7.944122366601308
16,18,25,16,28,17,22,13,29,13,7.4,7.505213289593808
17,11,17,12,22,19,30,18,18,17,7.4,7.472754113677104
27,18,27,19,25,10,16,19,22,15,7.2,7.697990974911699
28,10,20,17,29,11,28,17,19,18,7.2,7.921789117507783
24,11,22,15,15,19,29,12,15,13,7.2,7.782117703693816
22,14,24,16,15,12,21,18,15,13,6.8,6.535693206255014
24,16,27,17,18,17,23,13,15,14,7.0,7.403679580753168
15,17,17,13,27,10,23,19,30,12,7.8,7.678632793420521
23,17,18,17,22,16,20,14,28,12,6.6,6.912391162132412
29,12,20,19,20,20,30,11,20,14,7.8,7.479453627127821
22,14,24,10,16,10,20,12,18,19,7.2,7.8691153668191225
15,12,29,14,15,15,17,16,29,11,6.8,6.710689772829496
16,12,26,12,20,19,16,14,16,13,6.8,6.000892890743778
19,18,17,19,24,11,17,19,29,12,7.8,7.861391013064076
19,15,19,19,18,14,20,13,20,20,7.0,7.200891792501629
30,10,18,14,30,15,23,20,22,13,6.8,6.073789958153053
23,11,23,13,20,10,21,11,29,12,7.4,7.468560157010701
21,19,19,11,30,12,18,14,28,18,7.6,7.6460343358939165
26,13,25,12,30,14,20,19,18,17,7.8,7.186746146000976
26,19,28,13,23,11,24,15,20,17,7.6,7.3848197479266915
25,16,22,12,24,10,19,13,20,17,7.6,7.748295788865749
26,12,20,16,27,13,17,15,17,12,7.0,7.447678997649548
23,12,15,13,27,11,23,15,21,14,6.8,6.997886454418085
30,20,28,10,23,20,18,17,30,11,8.4,8.446507520522278
16,10,21,17,15,13,18,19,23,10,7.0,7.558434177017489
18,18,28,11,23,19,17,11,20,13,7.6,7.06507303398992
28,13,23,12,26,19,28,17,22,19,7.2,7.248224532514987
28,11,19,17,26,11,28,10,25,14,8.0,8.693627782042668
30,18,30,19,16,18,24,19,17,13,8.4,8.032324358653192
20,10,18,13,28,15,21,10,29,18,7.8,7.933876580297297
29,12,29,12,20,20,16,17,30,20,8.2,8.636836108923974
28,10,23,18,16,14,27,16,22,17,8.0,8.20806857901481
15,11,25,12,17,12,17,15,26,12,7.0,7.915337097149724
18,13,15,20,19,15,28,10,26,12,7.2,7.022512704279879
22,17,20,19,21,13,18,10,19,10,7.0,7.03660458296026
25,12,18,17,27,19,21,12,20,17,7.8,7.92797552286806
21,18,20,17,26,19,17,15,27,10,7.4,7.2697384277810455
23,14,22,11,17,15,26,20,30,12,8.2,8.845211820631189
25,14,30,10,18,18,26,18,19,11,7.4,7.038088050553864
22,20,20,13,16,15,28,12,17,10,7.0,7.133346881262024
28,13,29,12,19,12,19,13,21,14,7.6,7.453100252571068
19,17,17,13,17,12,23,13,28,16,7.4,7.65224540557631
19,15,30,13,19,12,25,14,18,19,7.8,7.038147154013241
17,14,23,13,22,20,20,18,27,20,8.4,8.457081233818373
24,10,15,10,18,14,23,18,28,14,7.6,7.762715574366153
28,18,15,19,19,13,27,11,17,15,7.8,7.193041988644398
19,18,18,10,20,15,21,11,17,19,7.0,7.663067034422049
18,12,23,12,15,10,15,19,20,12,6.4,6.535633328096451
30,15,22,13,18,18,19,10,30,10,6.4,6.745408726581261
21,17,22,18,15,15,22,12,15,17,6.8,6.298915504631059
29,14,26,13,15,11,18,10,23,16,7.4,7.265850225088808
21,13,29,10,15,20,15,16,23,10,7.0,7.514962194683103
24,17,24,12,27,17,20,19,23,13,8.4,8.03295893801684
19,16,29,15,20,19,29,11,28,18,7.8,7.737548289847601
30,13,25,11,27,19,15,19,26,15,8.6,8.591184929129401
18,18,27,11,16,20,19,12,20,11,7.6,7.1067156671070055
29,11,21,19,24,20,30,14,30,16,8.0,8.773946497674139
26,11,19,10,15,20,17,12,16,16,6.6,6.812120997103633
24,15,18,18,27,17,25,11,23,14,8.2,8.7325294997624
23,15,30,17,25,16,23,20,28,17,8.4,8.512355936788751
22,17,28,14,27,17,24,19,29,15,8.8,8.639439662046879
22,18,25,15,27,17,23,14,19,18,7.4,7.9113457739551
24,12,26,12,20,14,29,20,30,20,8.6,8.637544357146151
18,13,24,11,29,16,22,12,17,17,6.6,6.56414837708779
20,13,22,16,25,13,19,19,27,14,8.0,8.317979359558615
22,20,16,10,16,18,17,17,22,18,7.0,7.955107957111703
15,16,30,18,28,15,17,17,16,10,7.8,7.209078464852246
29,16,29,12,27,13,22,18,23,18,7.2,7.5872597959457115
17,15,21,11,22,17,17,15,25,10,7.0,7.553621239169402
25,17,23,10,22,17,23,19,17,18,7.8,7.077181685114107
